customer_code,customer_name,market,total_sold_qty,total_forecast_qty,net_error,net_error_pct,abs_error,abs_error_pct,forecast_accuracy
90013120,Coolblue,Italy,109547,133532,23985.0,18.0,70467.0,52.77,47.23
70010048,"Atliq e Store",Bangladesh,119439,142010,22571.0,15.9,75711.0,53.31,46.69
90023027,Costco,Canada,236189,279962,43773.0,15.6,149303.0,53.33,46.67
90023026,Relief,Canada,228988,273492,44504.0,16.3,146948.0,53.73,46.27
90017051,"Forward Stores",Portugal,86823,118067,31244.0,26.5,63568.0,53.84,46.16
90017058,Mbit,Portugal,86860,110195,23335.0,21.2,59473.0,53.97,46.03
90023028,walmart,Canada,239081,283323,44242.0,15.6,153058.0,54.02,45.98
90023024,Sage,Canada,246397,287233,40836.0,14.2,155610.0,54.18,45.82
90015146,Mbit,Norway,147152,210507,63355.0,30.1,114189.0,54.24,45.76
90013124,"Amazon ",Italy,110898,136116,25218.0,18.5,73826.0,54.24,45.76
90017054,"Flawless Stores",Portugal,84371,114698,30327.0,26.4,62483.0,54.48,45.52
70027208,"Atliq e Store",Brazil,33713,47321,13608.0,28.8,25784.0,54.49,45.51
90015147,Chiptec,Norway,154897,223867,68970.0,30.8,122100.0,54.54,45.46
80001019,Neptune,China,1113979,1275248,161269.0,12.6,695779.0,54.56,45.44
90015144,Sound,Norway,160074,225637,65563.0,29.1,123257.0,54.63,45.37
90009130,"Logic Stores",Newzealand,103290,110175,6885.0,6.2,60225.0,54.66,45.34
90015149,UniEuro,Norway,142086,212500,70414.0,33.1,116172.0,54.67,45.33
90021088,Electricalslytical,"United Kingdom",224350,323689,99339.0,30.7,176975.0,54.67,45.33
90017050,"Electricalsara Stores",Portugal,85272,114688,29416.0,25.6,62760.0,54.72,45.28
70013125,"Atliq Exclusive",Italy,101658,123428,21770.0,17.6,67546.0,54.73,45.27
90021094,Coolblue,"United Kingdom",208512,301367,92855.0,30.8,165043.0,54.76,45.24
70009134,"Atliq e Store",Newzealand,103747,110791,7044.0,6.4,60726.0,54.81,45.19
90013118,Fnac-Darty,Italy,101847,126289,24442.0,19.4,69242.0,54.83,45.17
70023031,"Atliq Exclusive",Canada,234114,286297,52183.0,18.2,157171.0,54.90,45.10
90023025,"Premium Stores",Canada,220808,266351,45543.0,17.1,146235.0,54.90,45.10
70017060,"Atliq e Store",Portugal,89925,120744,30819.0,25.5,66285.0,54.90,45.10
90013122,"Radio Popular",Italy,100746,123516,22770.0,18.4,67822.0,54.91,45.09
90017053,"Info Stores",Portugal,84149,111740,27591.0,24.7,61373.0,54.92,45.08
90017059,"Amazon ",Portugal,87828,114154,26326.0,23.1,62720.0,54.94,45.06
90002007,Girias,India,746226,778757,32531.0,4.2,427909.0,54.95,45.05
90023022,"Nomad Stores",Canada,225182,264886,39704.0,15.0,145544.0,54.95,45.05
90001021,Taobao,China,259715,297960,38245.0,12.8,163923.0,55.02,44.98
90017049,"Premium Stores",Portugal,82557,112228,29671.0,26.4,61825.0,55.09,44.91
90017052,Power,Portugal,88498,121705,33207.0,27.3,67149.0,55.17,44.83
90015148,Boulanger,Norway,160192,220107,59915.0,27.2,121545.0,55.22,44.78
90013123,Expert,Italy,103752,129491,25739.0,19.9,71533.0,55.24,44.76
90017056,Sorefoz,Portugal,88606,120208,31602.0,26.3,66408.0,55.24,44.76
90013119,"Argos (Sainsbury's)",Italy,104824,130639,25815.0,19.8,72241.0,55.30,44.70
90017055,"Electricalslance Stores",Portugal,88219,120089,31870.0,26.5,66428.0,55.32,44.68
90002012,Electricalsocity,India,749889,792439,42550.0,5.4,438508.0,55.34,44.66
90013116,"Unity Stores",Italy,109113,134044,24931.0,18.6,74251.0,55.39,44.61
90021087,"Logic Stores","United Kingdom",211131,319727,108596.0,34.0,177210.0,55.43,44.57
90021095,"Amazon ","United Kingdom",219009,314310,95301.0,30.3,174357.0,55.47,44.53
90021093,"Chip 7","United Kingdom",204913,296243,91330.0,30.8,164418.0,55.50,44.50
90021086,"Electricalsquipo Stores","United Kingdom",210548,298342,87794.0,29.4,165718.0,55.55,44.45
90021090,"Radio Popular","United Kingdom",209910,297954,88044.0,29.5,165738.0,55.63,44.37
90025209,"Electricalsbea Stores",Columbia,13178,15428,2250.0,14.6,8582.0,55.63,44.37
90002001,"Reliance Digital",India,695430,723756,28326.0,3.9,402842.0,55.66,44.34
90002010,Ebay,India,711794,732173,20379.0,2.8,407849.0,55.70,44.30
70015152,"Atliq e Store",Norway,158481,223475,64994.0,29.1,124698.0,55.80,44.20
90001020,Zone,China,289006,317484,28478.0,9.0,177384.0,55.87,44.13
90009127,"Epic Stores",Newzealand,105176,113751,8575.0,7.5,63569.0,55.88,44.12
90002003,Ezone,India,736363,763239,26876.0,3.5,426568.0,55.89,44.11
90027207,"Amazon ",Brazil,32354,44608,12254.0,27.5,24994.0,56.03,43.97
90021089,"Atlas Stores","United Kingdom",205601,304342,98741.0,32.4,170577.0,56.05,43.95
90009131,Path,Newzealand,106222,115297,9075.0,7.9,64637.0,56.06,43.94
90009132,"Amazon ",Newzealand,108371,115999,7628.0,6.6,65044.0,56.07,43.93
70010047,"Atliq Exclusive",Bangladesh,116158,134945,18787.0,13.9,75769.0,56.15,43.85
90015150,"Amazon ",Norway,146165,209437,63272.0,30.2,117634.0,56.17,43.83
70023032,"Atliq e Store",Canada,244350,283856,39506.0,13.9,159492.0,56.19,43.81
90010045,Control,Bangladesh,112653,128195,15542.0,12.1,72048.0,56.20,43.80
90023023,Amazon,Canada,371184,441346,70162.0,15.9,248034.0,56.20,43.80
90023030,"Amazon ",Canada,230055,260030,29975.0,11.5,146207.0,56.23,43.77
90013117,Euronics,Italy,101217,124613,23396.0,18.8,70112.0,56.26,43.74
90023029,Staples,Canada,221909,268692,46783.0,17.4,151163.0,56.26,43.74
90021092,UniEuro,"United Kingdom",222331,323563,101232.0,31.3,182072.0,56.27,43.73
70013126,"Atliq e Store",Italy,103808,125312,21504.0,17.2,70542.0,56.29,43.71
90017057,Euronics,Portugal,83058,113719,30661.0,27.0,64027.0,56.30,43.70
90009128,Propel,Newzealand,106425,118305,11880.0,10.0,66964.0,56.60,43.40
70002018,"Atliq e Store",India,701283,742759,41476.0,5.6,420936.0,56.67,43.33
90002005,Lotus,India,711058,729564,18506.0,2.5,413684.0,56.70,43.30
90013121,Boulanger,Italy,102628,122314,19686.0,16.1,69356.0,56.70,43.30
90021091,Expert,"United Kingdom",218161,309916,91755.0,29.6,175777.0,56.72,43.28
90011186,Elite,France,204193,208439,4246.0,2.0,118278.0,56.74,43.26
90020097,"Atlas Stores",Austria,30753,31533,780.0,2.5,17902.0,56.77,43.23
90020098,"Electricalsquipo Stores",Austria,29796,31616,1820.0,5.8,17962.0,56.81,43.19
90010044,"Surface Stores",Bangladesh,117056,138134,21078.0,15.3,78474.0,56.81,43.19
90002006,Viveks,India,722182,742758,20576.0,2.8,423136.0,56.97,43.03
70009133,"Atliq Exclusive",Newzealand,100607,109662,9055.0,8.3,62523.0,57.01,42.99
90002004,"Vijay Sales",India,769180,803515,34335.0,4.3,458183.0,57.02,42.98
70015151,"Atliq Exclusive",Norway,151173,215643,64470.0,29.9,123112.0,57.09,42.91
90011185,"Epic Stores",France,197195,200534,3339.0,1.7,114581.0,57.14,42.86
90015145,Synthetic,Norway,136979,204748,67769.0,33.1,117061.0,57.17,42.83
70021096,"Atliq e Store","United Kingdom",220245,316464,96219.0,30.4,180985.0,57.19,42.81
90002002,Croma,India,710324,755370,45046.0,6.0,432224.0,57.22,42.78
70002017,"Atliq Exclusive",India,685218,728761,43543.0,6.0,417293.0,57.26,42.74
90010046,"Amazon ",Bangladesh,110586,129789,19203.0,14.8,74317.0,57.26,42.74
90002008,Amazon,India,1207193,1264096,56903.0,4.5,724123.0,57.28,42.72
90020102,Fnac-Darty,Austria,31568,30972,-596.0,-1.9,17746.0,57.30,42.70
90018110,Boulanger,Spain,101275,103460,2185.0,2.1,59473.0,57.48,42.52
